delegacia,ano,numero,nAutor,nAutorAcaoFugir,nAutorAcaoAbordagem,nQtdeAutor,nAutorArma,nAutorAcaoCoação,nAutorSubtrair,nAutorAcaoAgressao,N° de Similares,data do teste
30109,2017,4540,OK,OK,OK,OK,OK,NOK,OK,OK,NP,1,2019-04-12
10356,2017,7090,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,7,2019-04-12
30206,2018,2687,OK,OK,OK,OK,OK,NOK,OK,OK,NP,3,2019-04-12
10314,2018,4604,OK,OK,OK,OK,OK,NOK,OK,OK,NP,2,2019-04-12
10314,2018,5723,OK,OK,NOK,OK,OK,NOK,OK,OK,NP,3,2019-04-12
30418,2018,5583,OK,OK,NOK,OK,OK,NOK,OK,OK,NP,8,2019-04-12
10335,2018,4911,OK,OK,NOK,OK,OK,NOK,OK,OK,NOK,3,2019-04-12
10349,2019,998,OK,OK,OK,OK,OK,NOK,OK,OK,NP,1,2019-04-12
30427,2016,8753,OK,OK,OK,OK,OK,NOK,OK,OK,NP,2,2019-04-12
10225,2018,1293,OK,OK,OK,OK,NOK,NOK,OK,OK,NOK,1,2019-04-12
120500,2012,10700,OK,OK,NOK,OK,OK,NOK,OK,OK,NOK,1,2019-04-12
200100,2015,636,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,6,2019-04-12
200100,2015,793,OK,OK,OK,OK,NOK,NOK,OK,OK,NP,10,2019-04-12
200100,2016,474,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,2,2019-04-12
120501,2016,1220,OK,OK,NOK,OK,NOK,NOK,OK,OK,NP,1,2019-04-12
200100,2017,370,OK,OK,OK,OK,OK,NOK,OK,OK,NP,14,2019-04-12
100919,2019,5473,OK,OK,NOK,OK,OK,NOK,OK,OK,NOK,2,2019-04-12
100919,2017,13858,OK,NOK,OK,NP,NP,NP,OK,OK,NOK,10,2019-04-12
100921,2017,136,OK,NP,OK,OK,OK,NOK,OK,NP,NP,4,2019-04-12
10103,2013,6920,OK,NP,OK,OK,NOK,NOK,OK,OK,NOK,1021,2019-04-12
10103,2018,627,OK,NP,NOK,NOK,NOK,NOK,OK,NP,NOK,3618,2019-04-12
10106,2017,780,OK,NP,NP,NOK,NP,NP,OK,NOK,NP,60,2019-04-12
10235,2013,7897,OK,OK,NOK,NOK,NOK,NOK,OK,NP,NOK,63,2019-04-12
10241,2012,4223,OK,NP,OK,OK,NOK,NOK,OK,NP,NOK,2046,2019-04-12
10247,2012,6175,OK,NP,NOK,NOK,NOK,NOK,OK,NP,NOK,443,2019-04-12
